instanceType,vCPU,ECU,memoryGB,instanceStorage,priceHour,category
t3.nano,2,Variable,0.5 GiB,EBS Only,$0.0062 per Hour,general purpose
t3.micro,2,Variable,1 GiB,EBS Only,$0.0125 per Hour,general purpose
t3.small,2,Variable,2 GiB,EBS Only,$0.025 per Hour,general purpose
t3.medium,2,Variable,4 GiB,EBS Only,$0.0499 per Hour,general purpose
t3.large,2,Variable,8 GiB,EBS Only,$0.0998 per Hour,general purpose
t3.xlarge,4,Variable,16 GiB,EBS Only,$0.1997 per Hour,general purpose
t3.2xlarge,8,Variable,32 GiB,EBS Only,$0.3994 per Hour,general purpose
m5.large,2,10,8 GiB,EBS Only,$0.115 per Hour,general purpose
m5.xlarge,4,16,16 GiB,EBS Only,$0.23 per Hour,general purpose
m5.2xlarge,8,37,32 GiB,EBS Only,$0.461 per Hour,general purpose
m5.4xlarge,16,70,64 GiB,EBS Only,$0.922 per Hour,general purpose
m5.8xlarge,32,128,128 GiB,EBS Only,$1.843 per Hour,general purpose
m5.12xlarge,48,168,192 GiB,EBS Only,$2.765 per Hour,general purpose
m5.16xlarge,64,256,256 GiB,EBS Only,$3.686 per Hour,general purpose
m5.24xlarge,96,337,384 GiB,EBS Only,$5.53 per Hour,general purpose
m5.metal,96,345,384 GiB,EBS Only,$5.53 per Hour,general purpose
c5.large,2,10,4 GiB,EBS Only,$0.102 per Hour,compute optimized
c5.xlarge,4,20,8 GiB,EBS Only,$0.204 per Hour,compute optimized
c5.2xlarge,8,39,16 GiB,EBS Only,$0.408 per Hour,compute optimized
c5.4xlarge,16,73,32 GiB,EBS Only,$0.816 per Hour,compute optimized
c5.9xlarge,36,139,72 GiB,EBS Only,$1.836 per Hour,compute optimized
c5.12xlarge,48,188,96 GiB,EBS Only,$2.448 per Hour,compute optimized
c5.18xlarge,72,281,144 GiB,EBS Only,$3.672 per Hour,compute optimized
c5.24xlarge,96,375,192 GiB,EBS Only,$4.896 per Hour,compute optimized
c5.metal,96,375,192 GiB,EBS Only,$4.896 per Hour,compute optimized
g4dn.xlarge,4,N/A,16 GiB,125 GB NVMe SSD,$0.631 per Hour,GPU instances
g4dn.2xlarge,8,N/A,32 GiB,225 GB NVMe SSD,$0.902 per Hour,GPU instances
g4dn.4xlarge,16,N/A,64 GiB,225 GB NVMe SSD,$1.445 per Hour,GPU instances
g4dn.8xlarge,32,N/A,128 GiB,900 GB NVMe SSD,$2.611 per Hour,GPU instances
g4dn.12xlarge,48,N/A,192 GiB,900 GB NVMe SSD,$4.694 per Hour,GPU instances
g4dn.16xlarge,64,N/A,256 GiB,900 GB NVMe SSD,$5.222 per Hour,GPU instances
r5.large,2,10,16 GiB,EBS Only,$0.151 per Hour,memory optimized
r5.xlarge,4,19,32 GiB,EBS Only,$0.302 per Hour,memory optimized
r5.2xlarge,8,37,64 GiB,EBS Only,$0.605 per Hour,memory optimized
r5.4xlarge,16,70,128 GiB,EBS Only,$1.21 per Hour,memory optimized
r5.8xlarge,32,128,256 GiB,EBS Only,$2.419 per Hour,memory optimized
r5.12xlarge,48,168,384 GiB,EBS Only,$3.629 per Hour,memory optimized
r5.16xlarge,64,256,512 GiB,EBS Only,$4.838 per Hour,memory optimized
r5.24xlarge,96,337,768 GiB,EBS Only,$7.258 per Hour,memory optimized
r5.metal,96,347,768 GiB,EBS Only,$7.258 per Hour,memory optimized
r5d.large,2,10,16 GiB,1 x 75 NVMe SSD,$0.173 per Hour,memory optimized
r5d.xlarge,4,19,32 GiB,1 x 150 NVMe SSD,$0.346 per Hour,memory optimized
r5d.2xlarge,8,37,64 GiB,1 x 300 NVMe SSD,$0.691 per Hour,memory optimized
r5d.4xlarge,16,70,128 GiB,2 x 300 NVMe SSD,$1.382 per Hour,memory optimized
r5d.8xlarge,32,128,256 GiB,2 x 600 NVMe SSD,$2.765 per Hour,memory optimized
r5d.12xlarge,48,168,384 GiB,2 x 900 NVMe SSD,$4.147 per Hour,memory optimized
r5d.16xlarge,64,256,512 GiB,4 x 600 NVMe SSD,$5.53 per Hour,memory optimized
r5d.24xlarge,96,337,768 GiB,4 x 900 NVMe SSD,$8.294 per Hour,memory optimized
r5d.metal,96,347,768 GiB,4 x 900 NVMe SSD,$8.294 per Hour,memory optimized
i3en.large,2,10,16 GiB,1 x 1250 NVMe SSD,$0.271 per Hour,storage optimized
i3en.xlarge,4,N/A,32 GiB,1 x 2500 NVMe SSD,$0.542 per Hour,storage optimized
i3en.2xlarge,8,37,64 GiB,2 x 2500 NVMe SSD,$1.085 per Hour,storage optimized
i3en.3xlarge,12,N/A,96 GiB,1 x 7500 NVMe SSD,$1.627 per Hour,storage optimized
i3en.6xlarge,24,N/A,192 GiB,2 x 7500 NVMe SSD,$3.254 per Hour,storage optimized
i3en.12xlarge,48,168,384 GiB,4 x 7500 NVMe SSD,$6.509 per Hour,storage optimized
i3en.24xlarge,96,337,768 GiB,8 x 7500 NVMe SSD,$13.018 per Hour,storage optimized
i3en.metal,96,N/A,768 GiB,8 x 7500 NVMe SSD,$13.018 per Hour,storage optimized